nome,Depressao_Ponto_Orvalho,DSC_Soares,Probabilidade_Fogo,Classe_Risco,Cor_Risco,Data_Atualizacao,Umidade_13h,DSC,Depressao_Psicrometrica
Paulista,23.6,45.0,8.3,6. Critico,#82001F,12/09/2026,,,
Uiraúna,23.5,42.5,8.1,6. Critico,#82001F,12/09/2026,,,
Coremas,23.1,30.4,7.4,5. Muito Alto,#DE1010,12/09/2026,,,
Aparecida,25.8,31.4,12.2,6. Critico,#82001F,11/09/2026,,,
Mãe d'Água,23.8,37.7,8.5,6. Critico,#82001F,11/09/2026,,,
Água Branca,22.6,45.0,6.9,5. Muito Alto,#DE1010,12/09/2026,,,
Poço de José de Moura,22.8,39.4,7.1,5. Muito Alto,#DE1010,12/09/2026,,,
Santana dos Garrotes,25.7,45.0,12.2,6. Critico,#82001F,12/09/2026,,,
Malta,23.5,37.7,8.0,6. Critico,#82001F,11/09/2026,,,
Carrapateira,22.6,45.0,6.9,5. Muito Alto,#DE1010,12/09/2026,,,
Vista Serrana,23.5,45.0,8.1,6. Critico,#82001F,12/09/2026,,,
Cachoeira dos Índios,24.1,41.9,9.1,6. Critico,#82001F,11/09/2026,,,
Santa Teresinha,23.8,37.7,8.5,6. Critico,#82001F,11/09/2026,,,
Brejo do Cruz,23.6,45.0,8.3,6. Critico,#82001F,12/09/2026,,,
Belém do Brejo do Cruz,22.2,45.0,6.3,5. Muito Alto,#DE1010,11/09/2026,,,
Marizópolis,23.6,45.0,8.3,6. Critico,#82001F,11/09/2026,,,
Jericó,23.1,27.44,7.3,5. Muito Alto,#DE1010,12/09/2026,,,
Joca Claudino,22.4,40.4,6.6,5. Muito Alto,#DE1010,12/09/2026,,,
Lastro,23.0,45.0,7.4,5. Muito Alto,#DE1010,12/09/2026,,,
Catolé do Rocha,21.0,42.2,5.0,5. Muito Alto,#DE1010,12/09/2026,,,
São José de Piranhas,24.1,45.0,9.1,6. Critico,#82001F,12/09/2026,,,
Aguiar,22.6,38.0,6.8,5. Muito Alto,#DE1010,12/09/2026,,,
Riacho dos Cavalos,23.5,45.0,8.1,6. Critico,#82001F,12/09/2026,,,
São José de Princesa,23.8,45.0,8.6,6. Critico,#82001F,12/09/2026,,,
Sousa,22.8,45.0,7.1,5. Muito Alto,#DE1010,12/09/2026,,,
Cajazeiras,21.9,36.04,5.9,5. Muito Alto,#DE1010,12/09/2026,,,
Patos,22.4,41.0,6.6,5. Muito Alto,#DE1010,12/09/2026,,,
São Domingos,24.9,31.4,10.4,6. Critico,#82001F,11/09/2026,,,
Bom Jesus,22.8,45.0,7.1,5. Muito Alto,#DE1010,12/09/2026,,,
Cajazeirinhas,25.6,30.2,11.8,6. Critico,#82001F,09/09/2026,,,
Condado,22.5,38.0,6.7,5. Muito Alto,#DE1010,12/09/2026,,,
São Bentinho,23.0,38.0,7.3,5. Muito Alto,#DE1010,12/09/2026,,,
São João do Rio do Peixe,24.5,42.5,9.8,6. Critico,#82001F,12/09/2026,,,
Emas,25.2,32.0,11.0,6. Critico,#82001F,12/09/2026,,,
Imaculada,21.7,45.0,5.8,5. Muito Alto,#DE1010,12/09/2026,,,
Santa Inês,23.2,45.0,7.7,6. Critico,#82001F,12/09/2026,,,
Monte Horebe,23.4,45.0,8.0,6. Critico,#82001F,11/09/2026,,,
Ibiara,23.9,36.04,8.7,6. Critico,#82001F,12/09/2026,,,
Bonito de Santa Fé,23.4,45.0,8.0,6. Critico,#82001F,11/09/2026,,,
Itaporanga,22.6,36.04,6.8,5. Muito Alto,#DE1010,12/09/2026,,,
